Year,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under_five_deaths,Polio,Total_expenditure,Diphtheria,HIV_AIDS,GDP,Population,thinness_1_19_years,thinness_5_9_years,Income_composition_of_resources,Schooling,Life_expectancy,
2014,82,0,0.01,2480.90,96.00,55.00,7.80,1.00,94.00,3.40,95.00,0.10,42996.48,null,3.40,3.40,0.79,13.00,74.60,
2013,83,1,0.01,2792.68,99.00,62.00,7.20,1.00,99.00,2.56,99.00,0.10,48399.96,null,3.40,3.30,0.80,13.10,74.50,
2012,84,1,0.01,2957.97,98.00,27.00,69.50,1.00,98.00,2.57,98.00,0.10,51264.71,null,3.40,3.30,0.79,13.20,74.30,
2011,85,1,0.02,2785.10,99.00,32.00,69.00,1.00,99.00,2.62,99.00,0.10,48268.59,null,3.30,3.20,0.79,13.40,74.20,
2010,86,1,0.01,2009.58,99.00,13.00,68.40,1.00,98.00,2.76,98.00,0.10,38497.62,null,3.30,3.20,0.79,13.50,74.00,
2009,87,1,0.1,3001.63,99.00,0.00,67.90,1.00,99.00,3.87,99.00,0.10,37567.31,null,3.30,3.20,0.79,13.60,73.90,
2008,88,1,0.03,2078.39,99.00,0.00,67.50,1.00,99.00,1.93,99.00,0.10,55572.00,null,3.30,3.10,0.79,13.80,73.80,
2007,89,1,0.03,2555.30,99.00,0.00,67.10,1.00,99.00,2.13,99.00,0.10,45793.98,null,3.20,3.10,0.79,13.90,73.70,
2006,89,1,0.01,2443.44,99.00,0.00,66.70,1.00,99.00,2.25,99.00,0.10,42717.56,null,3.20,3.10,0.79,14.10,73.60,
2005,9,0,0.01,239.58,99.00,10.00,66.30,1.00,99.00,2.38,99.00,0.10,3549.26,null,3.20,3.10,0.79,14.20,73.60,
2004,91,0,0.02,1731.07,94.00,23.00,65.90,1.00,98.00,2.76,98.00,0.10,26921.83,null,3.20,3.00,0.79,14.40,73.50,
2003,93,0,0.03,159.01,99.00,0.00,65.50,1.00,99.00,3.23,99.00,0.10,2271.57,null,3.20,3.00,0.79,14.10,73.40,
2002,94,0,0.01,1209.68,99.00,0.00,65.00,1.00,99.00,3.56,99.00,0.10,17789.42,null,3.20,3.00,0.79,13.90,73.30,
2001,95,0,0.01,113.20,99.00,0.00,64.50,1.00,99.00,3.61,99.00,0.10,1654.97,null,3.20,3.00,0.79,14.00,73.20,
2000,96,0,0.01,959.93,95.00,6.00,64.00,1.00,94.00,2.51,98.00,0.10,18389.38,null,3.20,3.10,0.79,14.10,73.20,
2015,166,3,null,0.00,97.00,17779.00,44.90,3.00,97.00,null,97.00,0.10,null,null,3.30,3.40,0.66,13.00,71.10,
2014,17,3,0.01,0.00,96.00,318.00,43.90,4.00,95.00,6.48,96.00,0.10,null,null,3.30,3.40,0.66,12.80,78.00,
2013,174,3,0.01,0.00,97.00,1.00,43.00,4.00,97.00,6.68,97.00,0.10,null,null,3.30,3.30,0.65,12.50,77.00,
2012,18,3,0.01,0.00,96.00,0.00,42.20,4.00,94.00,6.97,96.00,0.10,null,null,3.20,3.30,0.64,12.30,69.90,
2011,188,4,3.28,0.00,96.00,222.00,41.40,4.00,94.00,6.18,96.00,0.20,null,null,3.20,3.30,0.63,12.10,69.40,
2010,199,4,2.73,0.00,96.00,0.00,4.70,4.00,88.00,6.66,96.00,0.10,null,null,3.20,3.30,0.63,12.20,68.80,
2009,21,4,2.39,0.00,96.00,1.00,4.10,4.00,96.00,6.79,95.00,0.10,null,null,3.30,3.40,0.63,12.40,68.50,
2008,217,4,2.53,0.00,97.00,16.00,39.50,4.00,95.00,6.70,95.00,0.20,null,null,3.30,3.40,0.62,12.60,67.60,
2007,229,4,2.77,0.00,94.00,40.00,39.00,4.00,94.00,6.87,94.00,0.10,null,null,3.30,3.40,0.62,12.60,67.20,
2006,234,4,2.48,0.00,9.00,27.00,38.50,4.00,93.00,6.73,92.00,0.10,null,null,3.30,3.40,0.61,12.50,66.70,
2005,224,4,2.81,0.00,97.00,53.00,38.00,4.00,98.00,5.82,98.00,0.10,null,null,3.40,3.40,0.61,12.40,66.90,
2004,218,4,3.41,0.00,99.00,8.00,37.50,4.00,98.00,5.57,99.00,0.10,null,null,3.40,3.40,0.61,12.50,67.10,
2003,217,4,3.52,0.00,99.00,6.00,37.00,4.00,98.00,5.43,98.00,0.10,null,null,3.50,3.50,0.60,12.20,66.60,
2002,215,4,3.31,0.00,99.00,2.00,36.50,5.00,99.00,5.43,98.00,0.10,null,null,3.50,3.50,0.60,12.10,66.70,
2001,217,4,2.62,0.00,57.00,17.00,36.00,5.00,99.00,4.79,99.00,0.10,null,null,3.60,3.60,0.59,11.80,67.20,
2000,225,4,2.13,0.00,44.00,16.00,35.60,5.00,99.00,4.68,99.00,0.10,null,null,3.60,3.60,0.59,11.40,66.60,
2015,194,8,null,0.00,89.00,56.00,21.70,11.00,89.00,null,89.00,0.20,null,null,8.80,8.90,0.58,10.80,65.70,
2014,199,8,0.01,0.00,88.00,339.00,2.90,11.00,88.00,1.87,88.00,0.20,null,null,8.90,9.00,0.57,10.60,65.30,
2013,23,9,0.01,0.00,87.00,71.00,2.10,12.00,86.00,2.00,87.00,0.30,null,null,9.00,9.10,0.56,10.40,64.90,
2012,28,9,0.01,0.00,79.00,32.00,19.40,12.00,78.00,2.12,79.00,0.30,null,null,9.10,9.20,0.55,10.20,64.40,
2011,213,9,5.39,0.00,78.00,113.00,18.70,13.00,79.00,2.20,78.00,0.30,null,null,9.20,9.40,0.54,9.90,64.00,
2010,218,10,5.95,0.00,74.00,153.00,18.00,13.00,76.00,2.75,74.00,0.30,null,null,9.30,9.50,0.54,9.60,63.60,
2009,223,10,5.18,0.00,67.00,78.00,17.30,14.00,67.00,3.77,67.00,0.20,null,null,9.40,9.60,0.53,9.40,63.10,
2008,228,10,5.1,0.00,61.00,174.00,16.70,14.00,6.00,2.77,61.00,0.20,null,null,9.60,9.70,0.52,9.20,62.60,
2007,234,11,5,0.00,5.00,1678.00,16.10,15.00,46.00,4.14,5.00,0.20,null,null,9.70,9.80,0.51,9.00,62.10,
2006,24,11,3.69,0.00,57.00,58.00,15.50,15.00,56.00,4.14,57.00,0.20,null,null,9.90,9.90,0.50,9.00,61.50,
2005,246,11,3.68,0.00,49.00,295.00,14.90,16.00,5.00,4.32,49.00,0.20,null,null,1.00,1.10,0.49,8.70,61.00,
2004,252,12,3.53,0.00,45.00,1491.00,14.40,16.00,46.00,4.54,45.00,0.20,null,null,1.10,1.20,0.48,8.60,64.00,
2003,259,12,3.41,0.00,5.00,1810.00,13.80,17.00,52.00,4.91,49.00,0.10,null,null,1.20,1.30,0.48,8.30,59.80,
2002,265,13,3.33,0.00,null,2070.00,13.30,18.00,55.00,4.40,53.00,0.10,null,null,1.30,1.40,0.47,8.00,59.30,
2001,271,13,3.13,0.00,null,94.00,12.70,19.00,55.00,4.32,52.00,0.10,null,null,1.40,1.50,0.46,8.00,58.70,
2000,278,14,5.16,0.00,null,332.00,12.30,20.00,57.00,3.41,51.00,0.10,null,null,1.50,1.50,0.46,8.00,58.10,
2015,153,0,null,0.00,94.00,0.00,61.20,0.00,95.00,null,95.00,0.10,13666.58,1977527.00,2.20,2.10,0.83,16.00,74.60,
2014,156,0,0.01,1542.64,92.00,36.00,6.70,0.00,92.00,5.88,92.00,0.10,15725.14,1993782.00,2.20,2.20,0.82,16.00,74.40,
2013,161,0,10.37,150.31,94.00,0.00,6.20,0.00,94.00,5.67,94.00,0.10,1532.23,212647.00,2.20,2.20,0.81,15.40,74.10,
2012,163,0,10.21,1356.02,9.00,3.00,59.80,0.00,91.00,5.91,91.00,0.10,13822.86,234319.00,2.20,2.20,0.81,15.50,73.80,
2011,169,0,10.14,24.71,89.00,1.00,59.40,0.00,92.00,6.10,92.00,0.10,1372.69,25979.00,2.20,2.30,0.81,15.80,73.60,
2010,18,0,9.8,1109.97,91.00,0.00,58.90,0.00,92.00,6.55,92.00,0.10,11326.22,297555.00,2.20,2.30,0.81,16.00,72.80,
2009,184,0,9.85,1137.62,92.00,0.00,58.50,0.00,94.00,6.84,94.00,0.10,12219.37,2141669.00,2.30,2.30,0.82,16.40,72.60,
2008,199,0,11.84,253.40,93.00,3.00,58.10,0.00,94.00,6.63,94.00,0.10,16348.53,2177322.00,2.30,2.40,0.82,16.30,71.90,
2007,221,0,12.12,170.99,91.00,0.00,57.70,0.00,94.00,7.10,94.00,0.10,1444.16,22325.00,2.40,2.40,0.81,16.20,78.00,
2006,229,0,10.4,1099.25,94.00,7.00,57.40,0.00,96.00,6.80,96.00,0.10,9667.98,2218357.00,2.40,2.50,0.81,16.20,75.00,
2005,216,0,9.92,86.93,99.00,2.00,57.00,0.00,99.00,6.37,99.00,0.10,7558.74,2238799.00,2.50,2.50,0.79,15.90,76.00,
2004,26,0,8.81,80.03,98.00,0.00,56.60,0.00,99.00,6.51,99.00,0.10,6351.81,2263122.00,2.50,2.60,0.78,15.50,71.00,
2003,29,0,8.24,478.06,98.00,0.00,56.30,0.00,98.00,6.15,98.00,0.10,5134.96,2287955.00,2.60,2.60,0.76,15.20,78.00,
2002,219,0,7.44,376.46,98.00,0.00,56.00,0.00,98.00,6.29,97.00,0.10,4132.35,231173.00,2.70,2.70,0.75,14.80,73.00,
2001,228,0,6.68,332.28,96.00,1.00,55.70,0.00,97.00,6.17,97.00,0.10,3572.85,233717.00,2.80,2.80,0.73,14.20,69.90,
2000,218,0,7.13,291.02,95.00,0.00,55.40,0.00,96.00,6.00,96.00,0.10,3352.73,236755.00,2.80,2.80,0.72,13.70,71.00,
2015,98,1,null,0.00,81.00,39.00,66.10,1.00,75.00,null,81.00,0.10,846.63,5851479.00,4.90,4.90,0.76,13.30,74.90,
2014,99,1,1.32,140.38,81.00,112.00,65.40,1.00,75.00,6.39,81.00,0.10,8161.46,563279.00,4.80,4.90,0.76,13.30,74.80,
2013,97,1,1.29,14.56,81.00,1761.00,64.90,1.00,75.00,6.63,81.00,0.10,846.29,527612.00,4.80,4.80,0.77,13.30,74.90,
2012,93,1,1.53,151.15,81.00,9.00,64.40,1.00,75.00,6.99,81.00,0.10,8787.95,491644.00,4.80,4.80,0.76,13.30,75.00,
2011,93,1,1.57,835.06,81.00,9.00,64.00,1.00,75.00,7.12,81.00,0.10,8734.97,4588368.00,4.70,4.70,0.76,13.20,75.00,
2010,94,1,1.58,805.40,81.00,12.00,63.50,1.00,75.00,7.19,81.00,0.10,8763.83,4337141.00,4.70,4.70,0.75,13.30,74.90,
2009,95,1,1.62,8.14,81.00,22.00,63.00,1.00,75.00,7.42,81.00,0.10,84.27,4183156.00,4.70,4.70,0.75,13.20,74.70,
2008,98,1,1.67,69.14,81.00,24.00,62.50,1.00,75.00,8.70,81.00,0.10,712.78,411147.00,4.70,4.70,0.74,13.10,74.50,
2007,98,1,1.72,8.91,8.00,373.00,61.90,1.00,75.00,8.90,8.00,0.10,614.27,486466.00,4.70,4.60,0.73,12.90,74.40,
2006,1,1,1.82,534.58,78.00,956.00,61.40,1.00,75.00,8.83,78.00,0.10,5372.66,45735.00,4.70,4.60,0.73,13.20,74.10,
2005,11,1,1.94,630.05,77.00,618.00,6.80,1.00,74.00,8.42,77.00,0.10,5339.44,3986852.00,4.70,4.60,0.00,13.70,73.90,
2004,13,1,2.1,618.36,75.00,213.00,6.20,1.00,74.00,8.91,75.00,0.10,5424.22,3863267.00,4.70,4.60,0.00,14.20,73.70,
2003,15,1,2.19,527.92,74.00,526.00,59.70,1.00,74.00,9.30,74.00,0.10,5425.67,371464.00,4.80,4.70,0.00,14.80,73.50,
2002,17,1,1.98,70.13,77.00,36.00,59.10,1.00,77.00,1.50,77.00,0.10,5436.60,3522837.00,4.80,4.70,0.00,15.20,73.20,
2001,11,1,2.19,510.60,8.00,8.00,58.60,1.00,8.00,1.90,8.00,0.10,5253.12,3359859.00,4.90,4.70,0.00,15.00,73.00,
2000,112,1,2.26,404.39,83.00,5.00,57.90,1.00,83.00,1.86,83.00,0.10,5334.93,3235366.00,4.90,4.80,0.00,14.90,72.70,
2015,484,4,null,0.00,93.00,0.00,32.60,6.00,9.00,null,93.00,9.30,173.83,2174645.00,5.50,5.30,0.50,10.70,53.70,
2014,522,4,0.01,162.13,93.00,0.00,32.00,6.00,9.00,1.62,93.00,9.40,1174.84,2145785.00,5.80,5.60,0.49,10.80,52.10,
2013,518,4,0.01,153.34,93.00,516.00,31.40,6.00,9.00,11.70,93.00,9.60,1196.13,2117361.00,6.10,5.90,0.48,11.10,52.10,
2012,513,4,0.01,168.13,95.00,179.00,3.80,6.00,93.00,11.14,95.00,9.00,1281.52,289928.00,6.40,6.20,0.48,11.00,52.20,
2011,52,4,2.39,195.83,96.00,172.00,3.20,6.00,95.00,11.79,96.00,10.50,1352.38,264166.00,6.80,6.60,0.47,11.00,52.30,
2010,527,4,2.71,154.87,93.00,2488.00,29.70,6.00,92.00,1.87,93.00,13.40,1173.26,24551.00,7.20,7.00,0.46,10.90,51.10,
2009,566,4,2.75,104.31,91.00,0.00,29.20,6.00,89.00,9.80,91.00,18.20,923.14,21929.00,7.60,7.40,0.45,10.80,49.40,
2008,592,5,2.75,91.85,88.00,0.00,28.80,6.00,86.00,8.85,88.00,27.30,934.43,199993.00,8.00,7.80,0.45,10.70,47.80,
2007,633,4,2.69,9.18,9.00,2.00,28.30,6.00,87.00,8.47,88.00,30.00,918.43,1982287.00,8.40,8.30,0.44,10.60,46.20,
2006,654,5,2.61,71.16,91.00,1.00,27.90,6.00,88.00,7.12,89.00,34.10,915.78,1965662.00,8.80,8.70,0.44,10.70,45.30,
2005,675,5,2.67,57.90,87.00,0.00,27.40,6.00,88.00,6.30,89.00,34.80,862.95,1949543.00,9.30,9.20,0.44,10.70,44.50,
2004,666,5,1.8,67.91,6.00,31.00,26.90,7.00,89.00,6.96,9.00,34.60,781.51,1933728.00,9.70,9.70,0.44,10.70,44.80,
2003,648,5,1.99,5.30,17.00,1.00,26.40,7.00,9.00,7.13,9.00,33.80,63.64,191897.00,1.20,1.10,0.44,10.50,45.50,
2002,622,5,2.95,3.53,null,0.00,25.90,7.00,84.00,6.91,84.00,32.50,47.89,192312.00,1.60,1.60,0.45,10.40,46.40,
2001,586,5,2.86,38.57,null,217.00,25.40,7.00,78.00,7.53,78.00,31.20,437.82,1885955.00,11.10,11.10,0.44,10.30,47.80,
2000,543,5,3.1,29.87,null,660.00,24.90,7.00,82.00,6.92,83.00,29.80,474.82,1868699.00,11.50,11.60,0.45,9.60,49.30,
2015,259,8,null,0.00,52.00,1060.00,27.30,11.00,52.00,null,52.00,0.90,452.39,4499621.00,6.50,6.40,0.43,9.90,61.40,
2014,329,8,0.01,54.37,5.00,34.00,26.70,11.00,49.00,1.40,5.00,0.90,458.47,439737.00,6.70,6.50,0.43,9.90,58.10,
2013,258,9,0.01,45.05,76.00,0.00,26.10,11.00,75.00,9.25,76.00,1.10,454.12,4286291.00,6.80,6.70,0.42,9.80,61.10,
2012,261,9,0.01,48.10,8.00,43.00,25.60,12.00,8.00,1.19,8.00,1.20,415.36,4181563.00,7.00,6.90,0.42,9.60,67.00,
2011,266,9,3.72,60.45,77.00,279.00,25.00,12.00,77.00,11.23,77.00,1.50,379.69,47167.00,7.20,7.00,0.41,9.50,62.00,
2010,272,9,3.64,41.91,47.00,2200.00,24.50,13.00,71.00,11.87,7.00,1.80,327.43,3948125.00,7.40,7.20,0.40,9.60,59.70,
2009,277,10,3.75,5.59,64.00,6.00,24.00,13.00,84.00,14.39,81.00,2.10,33.67,3811528.00,7.60,7.40,0.40,9.70,59.20,
2008,281,10,3.88,40.03,64.00,1.00,23.40,14.00,79.00,11.83,75.00,2.40,232.62,3662993.00,7.70,7.60,0.39,9.80,58.60,
2007,286,10,4.03,3.69,null,1.00,22.90,14.00,67.00,1.24,65.00,2.80,21.37,3512932.00,7.90,7.80,0.38,9.90,57.90,
2006,32,11,4.05,15.80,null,20.00,22.40,15.00,66.00,1.90,6.00,3.00,178.93,3375838.00,8.10,8.10,0.38,10.00,56.70,
2005,316,12,4.19,22.40,null,8.00,22.00,16.00,66.00,8.40,6.00,3.10,168.65,326123.00,8.30,8.30,0.37,10.10,55.30,
2004,329,12,4.24,17.86,null,4.00,21.50,17.00,47.00,8.77,31.00,3.20,149.45,3176414.00,8.50,8.50,0.34,10.20,54.00,
2003,42,13,4.21,9.76,null,142.00,21.10,18.00,49.00,3.44,35.00,3.20,133.49,3116233.00,8.70,8.70,0.37,10.30,50.00,
2002,371,13,4.27,10.42,null,131.00,2.70,19.00,51.00,5.43,39.00,3.10,177.29,362863.00,8.80,8.90,0.38,10.40,56.00,
2001,333,14,4.4,16.72,null,1379.00,2.40,20.00,54.00,6.41,42.00,3.10,174.18,2991132.00,9.00,9.00,0.39,10.50,51.50,
2000,39,14,4.46,12.20,null,5977.00,2.20,20.00,56.00,5.91,46.00,3.10,183.41,2884522.00,9.20,9.20,0.34,8.70,51.90,
2015,138,1,null,0.00,97.00,82.00,64.80,2.00,97.00,null,97.00,0.10,null,null,5.80,5.50,0.72,13.40,72.70,
2014,143,2,0.01,0.00,94.00,372.00,63.80,2.00,94.00,4.97,94.00,0.10,null,null,5.70,5.50,0.73,13.40,72.40,
2013,134,2,0.01,0.00,96.00,0.00,62.80,2.00,96.00,4.33,96.00,0.10,null,null,5.70,5.50,0.73,13.40,72.90,
2012,133,2,0.01,0.00,98.00,320.00,61.80,2.00,98.00,4.30,98.00,0.10,null,null,5.60,5.40,0.71,13.70,72.90,
2011,161,2,0.01,36.12,98.00,0.00,6.90,2.00,98.00,4.77,98.00,0.10,562.55,null,5.60,5.40,0.76,14.00,71.30,
2010,132,2,0.01,52.50,98.00,0.00,59.90,2.00,98.00,3.50,98.00,0.10,1212.56,null,5.60,5.40,0.76,14.30,72.80,
2009,132,2,0.01,63.55,98.00,329.00,59.00,2.00,98.00,3.16,98.00,0.10,1296.97,null,5.60,5.40,0.76,14.60,72.70,
2008,132,2,0.01,532.67,98.00,8.00,58.20,2.00,98.00,2.40,98.00,0.10,14396.49,null,5.50,5.40,0.76,14.80,72.60,
2007,132,2,0.01,54.88,98.00,59.00,57.40,3.00,98.00,2.63,98.00,0.10,1138.57,null,5.50,5.40,0.76,15.10,72.50,
2006,134,2,0.01,493.42,98.00,1.00,56.70,3.00,98.00,2.51,98.00,0.10,9344.99,null,5.50,5.40,0.75,15.40,72.20,
2005,138,2,0.01,472.30,97.00,292.00,56.00,3.00,98.00,2.71,98.00,0.10,8171.36,null,5.50,5.40,0.75,15.70,71.90,
2004,141,2,0.01,31.81,99.00,2771.00,55.30,3.00,97.00,3.46,97.00,0.10,586.84,null,5.50,5.40,0.75,15.90,71.50,
2003,144,3,0.01,295.12,96.00,0.00,54.60,3.00,95.00,4.60,95.00,0.10,4676.97,null,5.60,5.40,0.74,16.00,71.30,
2002,146,3,0.01,29.13,91.00,3890.00,54.00,3.00,93.00,4.57,93.00,0.10,375.44,null,5.60,5.40,0.74,15.80,71.10,
2001,147,3,0.01,362.38,93.00,633.00,53.40,3.00,94.00,4.60,94.00,0.10,6269.58,null,5.60,5.50,0.73,15.70,71.00,
2000,148,3,0.01,457.32,92.00,0.00,52.80,3.00,94.00,3.41,94.00,0.10,7145.63,null,5.70,5.50,0.73,15.50,78.00,
2015,165,0,null,0.00,94.00,50.00,62.40,0.00,93.00,null,93.00,0.10,14252.43,29491.00,2.60,2.60,0.85,16.50,73.60,
2014,169,0,15.19,2211.74,94.00,11.00,61.90,0.00,93.00,6.55,93.00,0.10,16554.97,2932367.00,2.60,2.70,0.84,16.50,73.40,
2013,178,0,15.04,1968.82,93.00,35.00,61.40,0.00,93.00,6.59,93.00,0.10,15712.82,2957689.00,2.70,2.70,0.83,16.40,73.00,
2012,176,0,15.14,1807.07,93.00,0.00,6.90,0.00,93.00,6.67,93.00,0.10,14341.84,2987773.00,2.70,2.70,0.83,16.50,73.00,
2011,18,0,12.66,1758.82,95.00,7.00,6.50,0.00,92.00,6.86,92.00,0.10,14357.74,328115.00,2.70,2.80,0.83,16.70,72.80,
2010,188,0,12.9,1423.80,94.00,2.00,6.00,0.00,95.00,7.90,95.00,0.10,11984.87,397282.00,2.80,2.80,0.82,16.80,72.40,
2009,192,0,12.4,1446.53,95.00,0.00,59.70,0.00,98.00,7.53,98.00,0.10,11837.39,3162916.00,2.80,2.90,0.82,16.60,72.20,
2008,224,0,13.3,1888.15,96.00,1.00,59.30,0.00,96.00,6.61,96.00,0.10,14961.57,3198231.00,2.90,2.90,0.82,16.50,71.10,
2007,24,0,13.4,1581.51,96.00,0.00,59.00,0.00,95.00,6.22,95.00,0.10,12297.92,3231294.00,2.90,3.00,0.81,16.40,72.00,
2006,229,0,12.7,116.50,95.00,1.00,58.70,0.00,94.00,6.20,94.00,0.10,924.64,326999.00,3.00,3.00,0.81,16.40,76.00,
2005,222,0,12.3,913.70,95.00,1.00,58.40,0.00,93.00,5.83,94.00,0.10,7863.16,3322528.00,3.00,3.10,0.80,16.20,78.00,
2004,24,0,12.1,76.36,94.00,1.00,58.10,0.00,9.00,5.67,94.00,0.10,676.97,337775.00,3.10,3.10,0.79,16.30,71.60,
2003,22,0,11.29,81.00,95.00,1.00,57.80,0.00,91.00,6.46,94.00,0.10,555.54,3415213.00,3.20,3.20,0.78,15.80,71.60,
2002,22,0,11,561.92,94.00,103.00,57.50,0.00,97.00,6.40,95.00,0.10,4146.99,344367.00,3.30,3.30,0.77,15.30,71.40,
2001,21,0,10.2,42.87,95.00,7.00,57.20,0.00,97.00,6.26,95.00,0.10,353.15,347818.00,3.30,3.30,0.76,14.70,71.20,
2000,2,0,9.87,373.26,98.00,19.00,56.90,0.00,92.00,6.46,94.00,0.10,3297.35,3499536.00,3.40,3.40,0.75,14.00,71.60,
2015,63,0,null,0.00,94.00,0.00,61.30,0.00,99.00,null,99.00,0.10,1199.82,56964.00,1.00,0.90,0.90,13.90,82.00,
2014,65,0,11.12,16255.16,94.00,0.00,6.90,0.00,99.00,6.94,99.00,0.10,119172.74,556319.00,1.00,0.90,0.89,13.90,81.70,
2013,68,0,11.02,15515.75,94.00,0.00,6.50,0.00,99.00,7.10,99.00,0.10,113751.85,54336.00,0.90,0.90,0.89,13.90,81.40,
2012,7,0,11.34,2284.58,94.00,2.00,6.10,0.00,99.00,7.18,99.00,0.10,16749.14,53946.00,0.90,0.90,0.89,13.90,81.10,
2011,72,0,11.5,17028.53,95.00,6.00,59.60,0.00,96.00,7.34,99.00,0.10,115761.58,518347.00,0.90,0.90,0.89,13.90,88.00,
2010,73,0,11.36,2267.25,94.00,0.00,59.20,0.00,96.00,7.68,99.00,0.10,14965.36,56953.00,0.90,0.90,0.88,13.70,86.00,
2009,76,0,11.42,2052.39,95.00,0.00,58.80,0.00,96.00,8.11,99.00,0.10,13198.67,497783.00,0.90,0.90,0.89,13.50,83.00,
2008,8,0,11.53,18961.35,94.00,1.00,58.40,0.00,96.00,7.34,99.00,0.10,114293.84,48865.00,0.90,0.90,0.89,13.50,80.00,
2007,82,0,11.75,267.05,87.00,0.00,57.90,0.00,96.00,6.80,99.00,0.10,1618.49,479993.00,0.90,0.90,0.88,13.50,79.70,
2006,85,0,11.98,15345.49,95.00,8.00,57.50,0.00,99.00,7.75,99.00,0.10,89739.71,472637.00,0.90,0.90,0.88,13.50,79.40,
2005,9,0,11.84,1346.25,95.00,0.00,57.00,0.00,99.00,7.95,99.00,0.10,8289.70,465158.00,1.00,0.90,0.87,13.50,78.80,
2004,92,0,12.42,12372.05,94.00,0.00,56.40,0.00,99.00,8.20,99.00,0.10,75716.35,45895.00,1.00,0.90,0.87,13.50,78.70,
2003,92,0,12.61,10111.39,95.00,1.00,55.80,0.00,99.00,7.67,98.00,0.10,65445.89,45163.00,1.00,0.90,0.86,13.60,78.60,
2002,95,0,12.91,910.51,95.00,0.00,55.20,0.00,99.00,8.27,99.00,0.10,5293.64,446175.00,1.00,0.90,0.86,13.50,78.30,
2001,96,0,12.89,7877.34,86.00,0.00,54.60,0.00,99.00,7.40,99.00,0.10,48179.43,441525.00,1.00,1.00,0.85,13.40,78.00,
2000,98,0,13.14,8246.13,77.00,0.00,54.00,0.00,99.00,7.48,99.00,0.10,48736.00,4363.00,1.00,1.00,0.85,13.50,77.80,
2015,22,28,null,0.00,69.00,3.00,2.50,38.00,71.00,null,69.00,0.30,41.86,2423488.00,7.10,7.10,0.51,10.30,65.50,
2014,225,29,0.01,5.34,73.00,3.00,2.00,39.00,73.00,3.40,73.00,0.30,452.46,2358981.00,7.20,7.10,0.51,10.30,65.10,
2013,23,29,0.87,79.51,74.00,6.00,19.50,40.00,73.00,4.15,74.00,0.40,461.72,22961146.00,7.30,7.20,0.51,10.30,64.70,
2012,235,30,0.87,59.98,7.00,2.00,19.00,42.00,71.00,3.46,7.00,0.40,443.96,22346573.00,7.40,7.30,0.51,10.20,64.30,
2011,241,31,0.97,78.80,73.00,0.00,18.50,43.00,73.00,4.24,73.00,0.40,454.96,21743949.00,7.50,7.40,0.50,10.20,63.80,
2010,248,32,1.03,76.60,7.00,1.00,18.00,45.00,7.00,4.86,7.00,0.50,412.74,2115164.00,7.60,7.50,0.50,10.20,63.30,
2009,254,33,0.91,71.17,77.00,0.00,17.60,47.00,76.00,4.70,77.00,0.50,415.69,2569121.00,7.70,7.60,0.50,9.70,62.80,
2008,259,34,0.68,6.45,77.00,3.00,17.10,49.00,77.00,4.50,77.00,0.50,47.73,19996469.00,7.80,7.70,0.49,9.40,62.30,
2007,261,35,0.71,55.43,84.00,0.00,16.70,51.00,83.00,4.98,84.00,0.60,377.85,19433523.00,7.90,7.80,0.48,9.10,61.90,
2006,263,36,0.68,38.42,82.00,2.00,16.30,54.00,83.00,5.11,85.00,0.60,292.16,1888268.00,8.00,7.90,0.48,9.00,61.40,
2005,265,37,0.72,33.75,81.00,0.00,15.80,56.00,8.00,5.30,85.00,0.60,274.82,18336724.00,8.10,8.00,0.47,8.90,69.00,
2004,267,38,0.81,23.73,71.00,35558.00,15.40,58.00,74.00,4.89,78.00,0.60,245.12,1782997.00,8.20,8.10,0.47,8.70,64.00,
2003,268,40,0.93,37.13,61.00,62233.00,15.00,60.00,65.00,4.81,66.00,0.70,316.80,17279141.00,8.30,8.30,0.46,8.50,59.90,
2002,271,41,0.9,47.53,51.00,10795.00,14.70,63.00,61.00,5.29,62.00,0.70,262.29,16765117.00,8.50,8.40,0.46,8.30,59.30,
2001,276,42,1.05,42.56,null,9357.00,14.30,65.00,6.00,5.17,6.00,0.70,278.56,1626932.00,8.60,8.50,0.46,8.20,58.70,
2000,283,44,1.16,35.66,null,35256.00,13.90,68.00,58.00,5.80,57.00,0.60,245.94,1576686.00,8.70,8.60,0.00,8.00,57.90,
2015,365,26,null,0.00,88.00,0.00,19.60,38.00,88.00,null,88.00,4.80,362.66,1757367.00,6.40,6.20,0.47,10.80,58.30,
2014,377,27,0.01,59.49,91.00,3.00,19.20,40.00,87.00,11.38,91.00,5.10,354.73,1768838.00,6.50,6.30,0.47,10.70,57.60,
2013,394,29,0.01,55.83,89.00,1.00,18.80,42.00,89.00,1.96,89.00,6.30,332.92,16577147.00,6.50,6.40,0.46,10.70,56.70,
2012,42,31,0.01,82.77,96.00,11.00,18.40,46.00,95.00,12.60,96.00,8.30,374.52,169735.00,6.60,6.50,0.45,10.70,55.30,
2011,441,32,1.23,13.78,97.00,26.00,18.00,50.00,97.00,11.67,97.00,11.20,512.13,15627618.00,6.70,6.60,0.44,10.60,54.10,
2010,462,35,1.08,9.73,93.00,118712.00,17.60,54.00,86.00,1.50,93.00,13.70,458.87,1516795.00,6.80,6.70,0.43,10.20,52.90,
